"","uf","cod_ibge","ano","bimestre","conta","gasto_liquidado"
"287","AL",27,2021,3,"FU19 - Demais Subfunções",9910305.74
"288","AL",27,2021,4,"Ciência e Tecnologia",16580498.24
"289","AL",27,2021,4,"Desenvolvimento Científico",3272707.21
"290","AL",27,2021,4,"Desenvolvimento Tecnológico e Engenharia",80930.49
"291","AL",27,2021,4,"FU19 - Administração Geral",6530623.44
"292","AL",27,2021,4,"FU19 - Demais Subfunções",6696237.1
"293","AL",27,2021,5,"Ciência e Tecnologia",12760794.53
"294","AL",27,2021,5,"Desenvolvimento Científico",1729936.31
"295","AL",27,2021,5,"Desenvolvimento Tecnológico e Engenharia",204610.07
"296","AL",27,2021,5,"FU19 - Administração Geral",2338290.33
"297","AL",27,2021,5,"FU19 - Demais Subfunções",8487957.82
"298","AL",27,2021,6,"Ciência e Tecnologia",20508011.81
"299","AL",27,2021,6,"Desenvolvimento Científico",1742958.8
"300","AL",27,2021,6,"Desenvolvimento Tecnológico e Engenharia",1150907.99
"301","AL",27,2021,6,"Difusão do Conhecimento Científico e Tecnológico",1351431.64
"302","AL",27,2021,6,"FU19 - Administração Geral",3699280.92
"303","AL",27,2021,6,"FU19 - Demais Subfunções",12563432.46
"304","AL",27,2022,1,"Ciência e Tecnologia",5046601.77
"305","AL",27,2022,1,"Desenvolvimento Científico",802788
"306","AL",27,2022,1,"Desenvolvimento Tecnológico e Engenharia",105565.12
"307","AL",27,2022,1,"Difusão do Conhecimento Científico e Tecnológico",54035
"308","AL",27,2022,1,"FU19 - Administração Geral",1629625.11
"309","AL",27,2022,1,"FU19 - Demais Subfunções",2454588.54
"310","AL",27,2022,2,"Ciência e Tecnologia",13444042.85
"311","AL",27,2022,2,"Desenvolvimento Científico",3046011.26
"312","AL",27,2022,2,"Desenvolvimento Tecnológico e Engenharia",212500.53
"313","AL",27,2022,2,"Difusão do Conhecimento Científico e Tecnológico",77895
"314","AL",27,2022,2,"FU19 - Administração Geral",1785954.06
"315","AL",27,2022,2,"FU19 - Demais Subfunções",8321682
"316","AL",27,2022,3,"Ciência e Tecnologia",11612532.85
"317","AL",27,2022,3,"Desenvolvimento Científico",3074156.59
"318","AL",27,2022,3,"Desenvolvimento Tecnológico e Engenharia",141937.85
"319","AL",27,2022,3,"Difusão do Conhecimento Científico e Tecnológico",250107.5
"320","AL",27,2022,3,"FU19 - Administração Geral",1984253.9
"321","AL",27,2022,3,"FU19 - Demais Subfunções",6162077.01
"322","AL",27,2022,4,"Ciência e Tecnologia",22123738.13
"323","AL",27,2022,4,"Desenvolvimento Científico",4596518.19
"324","AL",27,2022,4,"Desenvolvimento Tecnológico e Engenharia",491536.67
"325","AL",27,2022,4,"Difusão do Conhecimento Científico e Tecnológico",196990
"326","AL",27,2022,4,"FU19 - Administração Geral",2042640.36
"327","AL",27,2022,4,"FU19 - Demais Subfunções",14796052.91
"328","AL",27,2022,5,"Ciência e Tecnologia",22295438.27
"329","AL",27,2022,5,"Desenvolvimento Científico",3401211.72
"330","AL",27,2022,5,"Desenvolvimento Tecnológico e Engenharia",1290693.37
"331","AL",27,2022,5,"Difusão do Conhecimento Científico e Tecnológico",1017983.03
"332","AL",27,2022,5,"FU19 - Administração Geral",2297379.91
"333","AL",27,2022,5,"FU19 - Demais Subfunções",14288170.24
"334","AL",27,2022,6,"Ciência e Tecnologia",41586357.39
"335","AL",27,2022,6,"Desenvolvimento Científico",8240070.26
